#hg19_chr	hg19_start	hg19_end	# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
1	21543742	21671996	chr1	21217249	21345503	1p36.1	1p36.12	600423	ECE1	Endothelin converting enzyme 1	ECE1	1889	ENSG00000117298	mutation identified in 1 HCAD patient	{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; ?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant	Ece1 (MGI:1101357)
1	21835476	21904904	chr1	21508983	21578411	1p36.1-p34	1p36.12	171760	ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney	ALPL	249	ENSG00000162551		Hypophosphatasia, adult, 146300 (3), Autosomal dominant, Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal dominant, Autosomal recessive; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive	Alpl (MGI:87983)
1	22148736	22263802	chr1	21822243	21937309	1p36.1	1p36.12	142461	HSPG2, PLC, SJS, SJA, SJS1	Heparan sulfate proteoglycan of basement membrane (perlecan)	HSPG2	3339	ENSG00000142798		Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive	Hspg2 (MGI:96257)
1	22379201	22427852	chr1	22052708	22101359	1p36.1	1p36.12	116952	CDC42, TKS	Cell division cycle 42 (GTP-binding protein, 25kD)	CDC42	998	ENSG00000070831		Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant	
1	22443800	22470473	chr1	22117307	22143980	1p35	1p36.12	603490	WNT4, SERKAL	Wingless-type MMTV integration site family, member 4	WNT4	54361	ENSG00000162552	mutation identified in 1 SERKAL family	?SERKAL syndrome, 611812 (3), Autosomal recessive; Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant	Wnt4 (MGI:98957)
1	22963120	22966174	chr1	22636627	22639681	1p36.3-p34.1	1p36.12	120550	C1QA	Complement component 1, q subcomponent, A chain	C1QA	712	ENSG00000173372		C1q deficiency, 613652 (3), Autosomal recessive	C1qa (MGI:88223)
1	22970125	22974600	chr1	22643632	22648107	1p36.3-p34.1	1p36.12	120575	C1QC, C1QG	Complement component 1, q subcomponent, C chain	C1QC	714	ENSG00000159189		C1q deficiency, 613652 (3), Autosomal recessive	C1qc (MGI:88225)
1	22979728	22988129	chr1	22653235	22661636	1p36.3-p34.1	1p36.12	120570	C1QB	Complement component 1, q subcomponent, B chain	C1QB	713	ENSG00000173369		C1q deficiency, 613652 (3), Autosomal recessive	C1qb (MGI:88224)
1	23037262	23247992	chr1	22710769	22921499	1p36.1-p35	1p36.12	600997	EPHB2, EPHT3, DRT, ERK, PCBC, CAPB, BDPLT22	eph tyrosine kinase 3 (ephrin receptor EphB2)	EPHB2	2048	ENSG00000133216	mutation identified in 1 BDPLT22 family	{Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3); ?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive	Ephb2 (MGI:99611)
1	23345935	23410183	chr1	23019442	23083690	1p36.12	1p36.12	609132	KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF	Lysine-specific demethylase 1A	KDM1A	23028	ENSG00000004487		Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant	Kdm1a (MGI:1196256)
1	24018268	24023324	chr1	23691778	23696834	1p36.1-p35	1p36.11	604175	RPL11, DBA7	Ribosomal protein L11	RPL11	6135	ENSG00000142676		Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant	Rpl11 (MGI:1914275)
1	24122088	24127243	chr1	23795598	23800753	1p36-p35	1p36.11	606953	GALE	UDP galactose-4-epimerase	GALE	2582	ENSG00000117308		Galactose epimerase deficiency, 230350 (3), Autosomal recessive	Gale (MGI:1921496)
1	24128366	24151948	chr1	23801876	23825458	1pter-p33	1p36.11	613898	HMGCL	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	HMGCL	3155	ENSG00000117305		HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive	Hmgcl (MGI:96158)
1	24171566	24194821	chr1	23845076	23868331	1p34	1p36.11	612280	FUCA1	Fucosidase, alpha-L- 1, tissue	FUCA1	2517	ENSG00000179163	8cM distal to RH; pseudogene on 2q31-q32	Fucosidosis, 230000 (3), Autosomal recessive	Fuca1 (MGI:95593)
1	24645822	24690971	chr1	24319332	24364481	1p36.11	1p36.11	608317	GRHL3, SOM, TFCP2L4, VWS2	Grainyhead-like 3	GRHL3	57822	ENSG00000158055		Van der Woude syndrome 2, 606713 (3), Autosomal dominant	Grhl3 (MGI:2655333)
1	25598883	25656935	chr1	25272392	25330444	1p36.2-p34	1p36.11	111680	RHD	Rhesus system D polypeptide	RHD	6007	ENSG00000187010		[Rh-negative blood type] (3)	Rhd (MGI:1202882)
1	25687149	25756683	chr1	25360658	25430192	1p36.2-p34	1p36.11	111700	RHCE, RHNA	Rhesus system C and E polypeptides	RHCE	6006	ENSG00000188672	?order: C-E-D	[Blood group, Rhesus] (3); Rh-null disease, amorph type, 617970 (3)	Rhd (MGI:1202882)
1	25870078	25916890	chr1	25543587	25590399	1p36-p35	1p36.11	605747	LDLRAP1, ARH, FHCB2, FHCB1, FHCL4	Low density lipoprotein receptor adaptor protein 1	LDLRAP1	26119	ENSG00000157978		Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive	Ldlrap1 (MGI:2140175)
1	26126683	26144711	chr1	25800192	25818220	1p36-p35	1p36.11	606210	SELENON, SEPN1, SELN, RSMD1, CFTD	Selenoprotein N	SELENON	57190	ENSG00000162430		Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal dominant, Autosomal recessive	Selenon (MGI:2151208)
1	26363742	26372608	chr1	26037251	26046117	1p36.11	1p36.11	609617	SLC30A2, ZNT2, TNZD	Solute carrier family 30 (zinc transporter), member 2	SLC30A2	7780	ENSG00000158014		Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant	Slc30a2 (MGI:106637)
1	26758772	26797796	chr1	26432281	26471305	1p36.11	1p36.11	608172	DHDDS, HDS, RP59, DEDSM	Dehydrodolichyl diphosphate synthase	DHDDS	79947	ENSG00000117682	mutation identified in 1 CDG1BB patient	Retinitis pigmentosa 59, 613861 (3), Autosomal recessive; Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; ?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive	Dhdds (MGI:1914672)
1	27022505	27108594	chr1	26696014	26782103	1p35.3	1p36.11	603024	ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2	AT rich interactive domain 1A, SWI-like	ARID1A	8289	ENSG00000117713		Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant	Arid1a (MGI:1935147)
1	27113544	27127149	chr1	26787053	26800658	1p36.11	1p36.11	610274	PIGV, HPMRS1	Phosphatidylinositol glycan, class V	PIGV	55650	ENSG00000060642		Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive	Pigv (MGI:2442480)
1	27237979	27240600	chr1	26911488	26914109	1p36.1	1p36.11	604630	NR0B2, SHP	Nuclear receptor subfamily 0, group B, member 2	NR0B2	8431	ENSG00000131910		Obesity, mild, early-onset, 601665 (3), Autosomal dominant, Autosomal recessive, Multifactorial	Nr0b2 (MGI:1346344)
1	27276046	27286986	chr1	26949555	26960495	1p36	1p36.11	616758	KDF1, C1orf172, ECTD12	Keratinocyte differentiation factor 1	KDF1	126695	ENSG00000175707	mutation identified in 1 ECTD12 family	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant	Kdf1 (MGI:1916323)
1	27425299	27481615	chr1	27098808	27155124	1p36.1-p35	1p36.11	107310	SLC9A1, NHE1, APNH, LIKNS	Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)	SLC9A1	6548	ENSG00000090020	mutation identified in 1 LIKNS family	?Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive	Slc9a1 (MGI:102462)
1	27695600	27701342	chr1	27369109	27374851	1p36.11	1p36.11	604973	FCN3, HAKA1	Ficolin 3	FCN3	8547	ENSG00000142748		Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive	
1	27860755	27930688	chr1	27534244	27604177	1p36.11	1p36.1-p35.3	615790	AHDC1, XIGIS, MRD25	AT-hook DNA-binding motif-containing protein 1	AHDC1	27245	ENSG00000126705		Xia-Gibbs syndrome, 615829 (3), Autosomal dominant	Ahdc1 (MGI:2444218)
1	29213602	29446557	chr1	28887090	29120045	1p36.2-p34	1p35.3	130500	EPB41, EL1	Erythrocyte surface protein band 4.1	EPB41	2035	ENSG00000159023		Elliptocytosis-1, 611804 (3), Autosomal dominant, Autosomal recessive	Epb41 (MGI:95401)
1	29519168	29557459	chr1	29192656	29230947	1p35.3	1p35.3	608205	MECR, NRBF1, DYTOABG	Mitochondrial trans-2-enoyl-CoA reductase	MECR	51102	ENSG00000116353		Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive	Mecr (MGI:1349441)
1	31342312	31382581	chr1	30869465	30909734	1pter-p22.3	1p35.2	186357	SDC3, SYND3, SDCN	Syndecan 3	SDC3	9672	ENSG00000162512		{Obesity, association with}, 601665 (3), Autosomal dominant, Autosomal recessive, Multifactorial	Sdc3 (MGI:1349163)
